profile_type,income,expenses,savings,loan_emi,income_variability,savings_rate,expense_ratio,debt_to_income,runway_months,financial_goal,goal_amount,goal_months,risk_level,recommendation_category
Gig worker,17728.0,17537,16904,6155,18.59,0.0,98.9,34.7,1.4,Child Education,500000,12,High,Financial Risk
Consultant,74425.0,32980,103090,25028,59.72,22.1,44.3,33.6,4.1,Working Capital Buffer,50000,6,Medium,Highly Variable Income
Online seller,54569.0,34491,127754,18028,39.8,3.8,63.2,33.0,4.9,Retirement Reserve,250000,6,Medium,Highly Variable Income
Small business owner,44025.0,21092,183019,0,50.77,52.1,47.9,0.0,10.2,Emergency Fund,100000,24,Medium,Highly Variable Income
Self-employed person,24926.0,19314,16275,2136,21.73,13.9,77.5,8.6,1.2,Child Education,500000,6,Medium,Stable Income
Commission-based worker,31831.0,16756,65982,0,54.55,47.4,52.6,0.0,5.2,Home Downpayment,150000,24,Medium,Highly Variable Income
Online seller,76054.0,32185,240436,0,42.22,57.7,42.3,0.0,8.8,Business Expansion,150000,6,Medium,Highly Variable Income
Seasonal business owner,50058.0,35934,17238,9143,49.75,10.0,71.8,18.3,0.7,Home Downpayment,500000,24,High,Financial Risk
Online seller,50735.0,34257,123905,15104,10.9,2.7,67.5,29.8,4.5,Child Education,500000,36,Low,Stable Income
Daily wage worker,13020.0,15949,38165,0,41.91,0.0,122.5,0.0,3.4,Working Capital Buffer,150000,24,High,Financial Risk
Daily wage worker,25712.0,14580,112055,6049,52.77,19.8,56.7,23.5,11.8,Debt Repayment,150000,18,Medium,Highly Variable Income
Small business owner,46593.0,24597,39752,4085,73.26,38.4,52.8,8.8,1.9,Business Expansion,500000,24,High,Highly Variable Income
Seasonal business owner,101107.0,24124,47251,0,44.96,76.1,23.9,0.0,2.4,Debt Repayment,150000,18,High,Highly Variable Income
Online seller,66265.0,40238,17452,26141,21.23,0.0,60.7,39.4,0.7,Debt Repayment,30000,36,High,Financial Risk
Shop owner,34263.0,21714,9677,0,20.88,36.6,63.4,0.0,0.5,Child Education,500000,12,High,Financial Risk
Self-employed person,19729.0,25955,29050,7866,33.18,0.0,131.6,39.9,1.6,Emergency Fund,500000,12,High,Financial Risk
Online seller,55180.0,31142,261142,0,24.33,43.6,56.4,0.0,11.0,Child Education,500000,18,Low,Moderately Variable Income
Seasonal business owner,75586.0,26485,12900,16449,54.5,43.2,35.0,21.8,0.7,Home Downpayment,30000,24,High,Financial Risk
Consultant,88985.0,34189,104049,0,15.09,61.6,38.4,0.0,4.7,Emergency Fund,50000,24,Low,Stable Income
Gig worker,18436.0,17568,9569,5054,21.83,0.0,95.3,27.4,0.7,Working Capital Buffer,250000,36,High,Financial Risk
Commission-based worker,21395.0,22884,138313,0,51.86,0.0,107.0,0.0,9.2,Emergency Fund,250000,12,High,Financial Risk
Self-employed person,40832.0,16190,15358,0,32.84,60.3,39.7,0.0,1.1,Child Education,50000,36,Medium,Moderately Variable Income
Daily wage worker,9780.0,15633,60090,0,22.98,0.0,159.9,0.0,5.7,Debt Repayment,30000,18,High,Financial Risk
Seasonal business owner,37216.0,29038,47149,5677,53.62,6.7,78.0,15.3,2.0,Emergency Fund,500000,12,High,Highly Variable Income
Daily wage worker,13598.0,14452,7170,4432,44.6,0.0,106.3,32.6,0.7,Retirement Reserve,150000,6,High,Financial Risk
Small business owner,57452.0,29821,282569,0,33.83,48.1,51.9,0.0,12.1,Debt Repayment,250000,36,Low,Moderately Variable Income
Seasonal business owner,36404.0,26042,81558,0,65.0,28.5,71.5,0.0,4.3,Debt Repayment,75000,6,Medium,Highly Variable Income
Daily wage worker,15596.0,12872,5507,0,25.12,17.5,82.5,0.0,0.5,Debt Repayment,75000,6,High,Financial Risk
Gig worker,22426.0,16652,32633,0,31.69,25.7,74.3,0.0,2.8,Child Education,30000,12,Medium,Moderately Variable Income
Small business owner,31357.0,30069,49288,6380,53.01,0.0,95.9,20.3,2.2,Home Downpayment,250000,6,High,Financial Risk
Seasonal business owner,51166.0,27079,11639,8184,66.93,31.1,52.9,16.0,0.5,Emergency Fund,500000,36,High,Financial Risk
Daily wage worker,12962.0,11938,102626,0,35.02,7.9,92.1,0.0,13.0,Home Downpayment,250000,12,Low,Moderately Variable Income
Online seller,38613.0,32904,33503,6278,33.56,0.0,85.2,16.3,1.5,Home Downpayment,75000,6,High,Financial Risk
Shop owner,40944.0,21982,107211,9371,21.4,23.4,53.7,22.9,7.0,Child Education,75000,24,Low,Stable Income
Small business owner,56001.0,32697,176810,0,25.53,41.6,58.4,0.0,7.8,Emergency Fund,50000,24,Low,Moderately Variable Income
Online seller,67743.0,31331,27972,11681,40.07,36.5,46.2,17.2,1.3,Emergency Fund,50000,12,Medium,Moderately Variable Income
Online seller,50343.0,31938,37604,0,60.55,36.6,63.4,0.0,1.7,Home Downpayment,500000,12,High,Highly Variable Income
Gig worker,16938.0,20072,197078,4923,55.5,0.0,118.5,29.1,15.2,Debt Repayment,500000,36,High,Financial Risk
Daily wage worker,15275.0,12001,40915,0,16.53,21.4,78.6,0.0,4.0,Debt Repayment,100000,18,Low,Stable Income
Online seller,75983.0,25640,102600,0,30.85,66.3,33.7,0.0,5.0,Business Expansion,100000,36,Low,Moderately Variable Income
Online seller,84078.0,33025,17476,22578,27.29,33.9,39.3,26.9,0.7,Emergency Fund,100000,36,High,Financial Risk
Seasonal business owner,53741.0,23442,71133,14454,73.12,29.5,43.6,26.9,4.2,Home Downpayment,50000,36,Medium,Highly Variable Income
Self-employed person,47939.0,28769,217495,0,31.99,40.0,60.0,0.0,11.5,Working Capital Buffer,75000,12,Medium,Highly Variable Income
Freelancer,58949.0,23229,83375,8575,58.36,46.0,39.4,14.5,4.2,Home Downpayment,50000,36,Medium,Highly Variable Income
Daily wage worker,15232.0,14380,8214,2027,58.9,0.0,94.4,13.3,0.7,Home Downpayment,75000,6,High,Financial Risk
Shop owner,22139.0,22321,26501,0,18.85,0.0,100.8,0.0,1.5,Debt Repayment,30000,36,High,Financial Risk
Freelancer,37970.0,30277,67052,12429,18.49,0.0,79.7,32.7,3.4,Working Capital Buffer,50000,36,High,Financial Risk
Self-employed person,63157.0,22821,22932,24225,20.11,25.5,36.1,38.4,1.4,Debt Repayment,30000,18,Medium,Stable Income
Small business owner,30206.0,30689,71402,0,40.99,0.0,101.6,0.0,3.2,Child Education,500000,6,High,Financial Risk
Gig worker,28007.0,18302,62079,8257,38.32,5.2,65.3,29.5,4.6,Retirement Reserve,75000,18,Low,Moderately Variable Income
Daily wage worker,12075.0,11251,24035,0,64.78,6.8,93.2,0.0,2.9,Working Capital Buffer,50000,6,High,Highly Variable Income
Daily wage worker,15583.0,15620,167030,4637,24.07,0.0,100.2,29.8,15.8,Home Downpayment,30000,6,High,Financial Risk
Shop owner,36551.0,18597,37661,13761,33.96,11.5,50.9,37.6,2.7,Emergency Fund,500000,24,Medium,Moderately Variable Income
Shop owner,32741.0,17689,51495,0,24.27,46.0,54.0,0.0,3.4,Business Expansion,500000,24,Low,Moderately Variable Income
Shop owner,28354.0,20436,10787,9316,32.28,0.0,72.1,32.9,0.8,Retirement Reserve,500000,6,High,Financial Risk
Small business owner,44996.0,26475,187839,8253,53.54,22.8,58.8,18.3,9.2,Debt Repayment,150000,6,Medium,Highly Variable Income
Online seller,41005.0,38727,240347,14330,38.26,0.0,94.4,34.9,8.8,Business Expansion,250000,6,High,Financial Risk
Shop owner,20273.0,27803,14299,0,18.47,0.0,137.1,0.0,0.7,Working Capital Buffer,500000,36,High,Financial Risk
Shop owner,51101.0,22968,200853,14157,22.07,27.3,44.9,27.7,11.9,Debt Repayment,250000,6,Low,Moderately Variable Income
Consultant,60174.0,33025,268430,23232,39.74,6.5,54.9,38.6,9.6,Debt Repayment,50000,18,Low,Moderately Variable Income
Online seller,72826.0,33644,247765,11653,44.47,37.8,46.2,16.0,11.3,Emergency Fund,150000,36,Low,Moderately Variable Income
Gig worker,26263.0,19208,19014,0,49.69,26.9,73.1,0.0,1.4,Emergency Fund,75000,24,High,Highly Variable Income
Shop owner,36479.0,18432,31988,4066,16.64,38.3,50.5,11.1,2.3,Debt Repayment,30000,6,Low,Stable Income
Shop owner,29741.0,24825,28027,6453,22.76,0.0,83.5,21.7,1.6,Emergency Fund,250000,24,High,Financial Risk
Shop owner,45874.0,19983,44342,6504,24.76,42.3,43.6,14.2,3.0,Child Education,250000,36,Low,Moderately Variable Income
Online seller,30666.0,20932,8943,5024,37.55,15.4,68.3,16.4,0.5,Child Education,75000,6,High,Financial Risk
Online seller,38713.0,35166,146832,13167,30.77,0.0,90.8,34.0,5.2,Business Expansion,75000,6,High,Financial Risk
Freelancer,17128.0,23025,177965,1485,105.33,0.0,134.4,8.7,11.5,Business Expansion,150000,12,High,Financial Risk
Online seller,74620.0,36561,20222,6458,29.97,42.3,49.0,8.7,0.7,Emergency Fund,50000,36,High,Financial Risk
Self-employed person,31504.0,23916,115775,12133,46.48,0.0,75.9,38.5,7.2,Business Expansion,150000,12,High,Financial Risk
Online seller,72826.0,32413,211654,13363,29.67,37.1,44.5,18.3,8.0,Retirement Reserve,150000,6,Low,Moderately Variable Income
Gig worker,24599.0,14581,26063,6861,65.47,12.8,59.3,27.9,2.2,Retirement Reserve,100000,6,High,Highly Variable Income
Consultant,55986.0,26897,12924,0,17.87,52.0,48.0,0.0,0.6,Emergency Fund,150000,18,High,Financial Risk
Online seller,71270.0,27701,31995,0,42.09,61.1,38.9,0.0,1.4,Working Capital Buffer,500000,36,High,Highly Variable Income
Daily wage worker,6815.0,12731,38889,943,12.39,0.0,186.8,13.8,4.3,Working Capital Buffer,50000,12,High,Financial Risk
Consultant,111456.0,35240,34312,41541,15.77,31.1,31.6,37.3,1.4,Business Expansion,100000,6,Medium,Stable Income
Gig worker,30254.0,20132,159548,5182,61.25,16.3,66.5,17.1,10.6,Emergency Fund,50000,18,Medium,Highly Variable Income
Seasonal business owner,84679.0,28114,32143,19956,45.94,43.2,33.2,23.6,1.4,Business Expansion,50000,24,High,Highly Variable Income
Consultant,41577.0,42979,50625,10392,47.67,0.0,103.4,25.0,1.6,Business Expansion,100000,12,High,Financial Risk
Freelancer,33968.0,31685,267987,2758,42.57,0.0,93.3,8.1,13.1,Retirement Reserve,500000,24,High,Financial Risk
Online seller,64412.0,27451,263315,16392,46.88,31.9,42.6,25.4,12.4,Retirement Reserve,250000,24,Medium,Highly Variable Income
Freelancer,51804.0,25824,44315,19861,57.82,11.8,49.8,38.3,2.6,Child Education,500000,36,High,Highly Variable Income
Shop owner,46107.0,23002,122630,18090,39.65,10.9,49.9,39.2,7.8,Business Expansion,150000,12,Low,Moderately Variable Income
Gig worker,19798.0,20475,11894,7821,33.43,0.0,103.4,39.5,0.8,Working Capital Buffer,150000,24,High,Financial Risk
Seasonal business owner,38306.0,21487,17975,0,38.91,43.9,56.1,0.0,1.1,Debt Repayment,250000,24,High,Highly Variable Income
Online seller,29692.0,25292,10906,0,14.74,14.8,85.2,0.0,0.5,Emergency Fund,50000,6,High,Financial Risk
Gig worker,11701.0,16528,147530,0,35.19,0.0,141.3,0.0,11.8,Retirement Reserve,100000,6,High,Financial Risk
Freelancer,53902.0,26717,275173,0,45.69,50.4,49.6,0.0,14.4,Business Expansion,50000,24,Medium,Highly Variable Income
Shop owner,15863.0,19805,23630,6133,59.49,0.0,124.9,38.7,1.4,Retirement Reserve,250000,18,High,Financial Risk
Online seller,23188.0,29395,122833,4185,55.24,0.0,126.8,18.0,6.2,Working Capital Buffer,500000,18,High,Financial Risk
Freelancer,18917.0,19522,182878,0,65.99,0.0,103.2,0.0,13.0,Debt Repayment,30000,18,High,Financial Risk
Small business owner,57709.0,27734,233169,13526,56.29,28.5,48.1,23.4,10.8,Child Education,50000,6,Medium,Highly Variable Income
Freelancer,34820.0,24119,12375,0,42.5,30.7,69.3,0.0,0.6,Child Education,500000,6,High,Financial Risk
Shop owner,37889.0,19161,8281,0,43.66,49.4,50.6,0.0,0.6,Emergency Fund,75000,24,High,Financial Risk
Commission-based worker,30104.0,18048,28910,6238,61.83,19.3,60.0,20.7,2.4,Emergency Fund,75000,18,High,Highly Variable Income
Gig worker,26765.0,19875,32838,0,25.27,25.7,74.3,0.0,2.3,Working Capital Buffer,30000,18,Medium,Moderately Variable Income
Daily wage worker,8759.0,13930,31579,990,46.52,0.0,159.0,11.3,2.9,Debt Repayment,30000,12,High,Financial Risk
Freelancer,17804.0,19578,72460,5995,53.14,0.0,110.0,33.7,5.6,Retirement Reserve,150000,18,High,Financial Risk
Gig worker,31683.0,13716,24817,3825,19.77,44.6,43.3,12.1,2.3,Emergency Fund,500000,6,Low,Stable Income
Consultant,80284.0,29498,16450,28701,45.24,27.5,36.7,35.7,0.7,Retirement Reserve,50000,36,High,Financial Risk
Online seller,28652.0,36299,229010,0,27.92,0.0,126.7,0.0,8.7,Emergency Fund,100000,12,High,Financial Risk
Online seller,39782.0,27170,184547,11453,46.42,2.9,68.3,28.8,10.0,Child Education,250000,12,Low,Moderately Variable Income
Small business owner,49130.0,27766,28365,13326,40.61,16.4,56.5,27.1,1.3,Business Expansion,250000,24,High,Highly Variable Income
Consultant,86561.0,34492,187639,31547,19.03,23.7,39.8,36.4,7.2,Debt Repayment,100000,36,Low,Stable Income
Seasonal business owner,107546.0,34090,220275,27964,29.85,42.3,31.7,26.0,9.1,Home Downpayment,250000,36,Low,Moderately Variable Income
Self-employed person,30738.0,27419,51143,3801,50.35,0.0,89.2,12.4,2.5,Emergency Fund,150000,24,High,Financial Risk
Small business owner,22386.0,22003,9916,3500,40.44,0.0,98.3,15.6,0.6,Business Expansion,150000,18,High,Financial Risk
Commission-based worker,19869.0,20753,20081,0,64.98,0.0,104.4,0.0,1.2,Business Expansion,50000,36,High,Financial Risk
Freelancer,31326.0,21559,8630,9978,23.22,0.0,68.8,31.9,0.5,Business Expansion,50000,12,High,Financial Risk
Self-employed person,67954.0,21953,13028,0,31.34,67.7,32.3,0.0,0.8,Home Downpayment,30000,18,High,Financial Risk
Seasonal business owner,52773.0,19585,203224,20080,39.18,24.8,37.1,38.0,12.3,Home Downpayment,500000,36,Medium,Highly Variable Income
Daily wage worker,8753.0,8983,27056,3254,58.9,0.0,102.6,37.2,3.7,Business Expansion,250000,18,High,Financial Risk
Commission-based worker,38152.0,21765,192510,0,51.44,43.0,57.0,0.0,13.1,Working Capital Buffer,30000,12,Medium,Highly Variable Income
Seasonal business owner,27717.0,28900,304078,0,88.95,0.0,104.3,0.0,13.7,Debt Repayment,250000,18,High,Financial Risk
Daily wage worker,12924.0,14713,16501,0,41.16,0.0,113.8,0.0,1.5,Working Capital Buffer,100000,36,High,Financial Risk
Commission-based worker,39400.0,20995,8547,5881,27.52,31.8,53.3,14.9,0.5,Emergency Fund,150000,6,High,Financial Risk
Consultant,79660.0,28230,91377,14463,34.22,46.4,35.4,18.2,3.8,Home Downpayment,150000,12,Medium,Highly Variable Income
Gig worker,24236.0,13218,6701,0,84.89,45.5,54.5,0.0,0.6,Business Expansion,250000,12,High,Financial Risk
Shop owner,47741.0,17782,150889,0,27.99,62.8,37.2,0.0,11.7,Home Downpayment,50000,6,Low,Moderately Variable Income
Small business owner,27523.0,27141,77303,8994,54.37,0.0,98.6,32.7,3.8,Working Capital Buffer,30000,24,High,Financial Risk
Self-employed person,55523.0,19891,97427,18265,22.23,31.3,35.8,32.9,7.3,Emergency Fund,30000,18,Low,Moderately Variable Income
Freelancer,59143.0,21857,26184,0,56.69,63.0,37.0,0.0,1.4,Retirement Reserve,30000,36,High,Highly Variable Income
Online seller,72434.0,40370,34693,0,23.16,44.3,55.7,0.0,1.3,Home Downpayment,75000,12,Medium,Moderately Variable Income
Gig worker,24182.0,14384,8351,4032,53.87,23.8,59.5,16.7,0.8,Debt Repayment,30000,24,High,Financial Risk
Seasonal business owner,49834.0,33559,307816,8491,67.54,15.6,67.3,17.0,11.9,Debt Repayment,500000,6,Medium,Highly Variable Income
Online seller,36770.0,28103,47343,9768,24.53,0.0,76.4,26.6,2.5,Home Downpayment,100000,36,High,Financial Risk
Commission-based worker,26315.0,21199,20103,0,14.09,19.4,80.6,0.0,1.4,Business Expansion,250000,12,Medium,Stable Income
Online seller,38966.0,35114,234092,0,53.67,9.9,90.1,0.0,9.4,Emergency Fund,100000,12,Medium,Highly Variable Income
Daily wage worker,14146.0,10203,59364,4378,39.47,0.0,72.1,30.9,6.8,Business Expansion,50000,12,High,Financial Risk
Consultant,55862.0,33229,190960,9848,26.55,22.9,59.5,17.6,7.7,Home Downpayment,50000,36,Low,Moderately Variable Income
Seasonal business owner,81768.0,30149,93504,11042,57.79,49.6,36.9,13.5,3.9,Debt Repayment,100000,36,Medium,Highly Variable Income
Gig worker,11453.0,17390,18715,4511,8.6,0.0,151.8,39.4,1.3,Retirement Reserve,50000,18,High,Financial Risk
Commission-based worker,36858.0,25858,26231,0,23.22,29.8,70.2,0.0,1.5,Debt Repayment,50000,12,Medium,Moderately Variable Income
Self-employed person,38394.0,24180,53208,0,43.5,37.0,63.0,0.0,3.2,Child Education,500000,18,Medium,Highly Variable Income
Shop owner,60167.0,19839,10150,19499,27.48,34.6,33.0,32.4,0.7,Home Downpayment,500000,36,High,Financial Risk
Daily wage worker,17812.0,11447,27213,0,37.3,35.7,64.3,0.0,3.4,Retirement Reserve,150000,18,Low,Moderately Variable Income
Small business owner,63953.0,27311,49902,7288,27.89,45.9,42.7,11.4,2.7,Child Education,75000,6,Medium,Moderately Variable Income
Gig worker,16476.0,18765,33272,5448,25.67,0.0,113.9,33.1,2.3,Working Capital Buffer,500000,24,High,Financial Risk
Online seller,40736.0,32734,65218,12135,44.12,0.0,80.4,29.8,2.4,Retirement Reserve,50000,12,High,Financial Risk
Daily wage worker,14872.0,13691,11523,5049,72.95,0.0,92.1,34.0,1.1,Emergency Fund,250000,36,High,Financial Risk
Gig worker,31090.0,17379,35431,0,25.57,44.1,55.9,0.0,3.1,Working Capital Buffer,250000,36,Low,Moderately Variable Income
Consultant,54684.0,39544,78429,0,15.65,27.7,72.3,0.0,2.6,Debt Repayment,500000,24,Low,Stable Income
Freelancer,50173.0,22915,38166,13747,60.29,26.9,45.7,27.4,2.3,Working Capital Buffer,150000,36,High,Highly Variable Income
Seasonal business owner,91380.0,30344,107966,0,40.65,66.8,33.2,0.0,4.9,Retirement Reserve,30000,6,Medium,Highly Variable Income
Consultant,58971.0,32671,100700,11922,53.34,24.4,55.4,20.2,3.6,Home Downpayment,30000,18,Medium,Highly Variable Income
Online seller,51236.0,33881,113674,10982,30.33,12.4,66.1,21.4,4.2,Child Education,500000,18,Low,Moderately Variable Income
Seasonal business owner,41392.0,31855,173088,16391,68.72,0.0,77.0,39.6,7.1,Business Expansion,30000,12,High,Financial Risk
Freelancer,55372.0,25748,25164,0,73.56,53.5,46.5,0.0,1.4,Child Education,75000,24,High,Highly Variable Income
Commission-based worker,33770.0,20785,139133,0,37.16,38.5,61.5,0.0,7.9,Working Capital Buffer,150000,18,Medium,Highly Variable Income
Daily wage worker,10759.0,11017,6170,2165,35.86,0.0,102.4,20.1,0.7,Debt Repayment,100000,18,High,Financial Risk
Seasonal business owner,54535.0,35088,278994,11979,40.69,13.7,64.3,22.0,11.6,Debt Repayment,150000,12,Medium,Highly Variable Income
Daily wage worker,8002.0,14135,98718,0,47.35,0.0,176.6,0.0,10.6,Business Expansion,500000,24,High,Financial Risk
Online seller,23200.0,26782,216059,7941,48.56,0.0,115.4,34.2,10.0,Child Education,75000,6,High,Financial Risk
Self-employed person,40505.0,24748,57735,7851,34.42,19.5,61.1,19.4,3.3,Child Education,50000,36,Medium,Highly Variable Income
Daily wage worker,9536.0,8437,24823,2247,36.92,0.0,88.5,23.6,3.4,Working Capital Buffer,50000,6,High,Financial Risk
Gig worker,12453.0,12113,12905,3651,66.22,0.0,97.3,29.3,1.2,Business Expansion,50000,24,High,Financial Risk
Daily wage worker,8032.0,10291,64492,1612,30.36,0.0,128.1,20.1,7.5,Home Downpayment,30000,18,High,Financial Risk
Self-employed person,30554.0,19429,123038,2967,24.05,26.7,63.6,9.7,8.2,Working Capital Buffer,250000,6,Low,Moderately Variable Income
Commission-based worker,30036.0,18067,192603,0,63.01,39.8,60.2,0.0,14.5,Debt Repayment,500000,6,Medium,Highly Variable Income
Commission-based worker,45943.0,20499,37115,12571,40.45,28.0,44.6,27.4,2.2,Business Expansion,500000,24,High,Highly Variable Income
Consultant,67337.0,24719,74758,15398,42.13,40.4,36.7,22.9,3.7,Working Capital Buffer,500000,24,Medium,Highly Variable Income
Seasonal business owner,83646.0,27138,256544,22750,90.93,40.4,32.4,27.2,14.6,Working Capital Buffer,150000,24,Medium,Highly Variable Income
Consultant,91583.0,28835,114595,0,13.51,68.5,31.5,0.0,5.0,Retirement Reserve,250000,18,Low,Stable Income
Small business owner,49887.0,19909,21522,6221,32.86,47.6,39.9,12.5,1.5,Retirement Reserve,150000,36,Medium,Moderately Variable Income
Online seller,67869.0,33879,64092,7660,12.46,38.8,49.9,11.3,2.7,Home Downpayment,30000,36,Low,Stable Income
Daily wage worker,11851.0,15711,77667,2963,43.24,0.0,132.6,25.0,6.7,Home Downpayment,150000,36,High,Financial Risk
Shop owner,30926.0,24252,73882,0,34.68,21.6,78.4,0.0,3.9,Emergency Fund,150000,12,Low,Moderately Variable Income
